Record	val
"SLE
"	1
"Sleep and Sleep Disorders
"	1
"Sleeping Sickness
"	1
"Smallpox
"	1
"Smoking and Tobacco Use
"	1
"Sodium
"	1
"Soil Transmitted Helminths
"	1
"Sore Mouth Infection
"	1
"Sore Throat
"	1
"Southern Tick-Associated Rash Illness
"	1
"Spina Bifida
"	1
"Sporothrix schenckii infection
"	1
"Sporotrichosis
"	1
"Spotted Fever Group Rickettsia
"	1
"Staph
"	1
"Staphylococcus aureus Infection
"	1
"STARI
"	1
"STDs
"	1
"STDs and HIV/AIDS
"	1
"STEC
"	1
"Strep Infection, Group A
"	1
"Strep Infection, Group B
"	1
"Strep Throat
"	1
"Streptobacillus moniliformis Infection
"	1
"Streptococcus pneumoniae Infection
"	1
"Stress, Occupational
"	1
"Stroke
"	1
"Stroke and Genetics
"	1
"Strongyloidiasis
"	1
"Sudden Infant Death Syndrome
"	1
"Surveillance Reports, Sexually Transmitted Disease
"	1
"Swimmer's Itch
"	1
"Swimming-related Illness
"	1
"Swine Influenza
"	1
"Symptom Relief for Upper Respiratory Infections
"	1
"Syphilis
"	1
"Systemic lupus erythematosus
"	1
"Taenia Infection
"	1
"Tapeworm, Dog and Cat Flea
"	1
"Tapeworm Infection
"	1
"TB
"	1
"TB
"	1
"TB and HIV Coinfection
"	1
"TB and the African-American Communtiy
"	1
"TB Data & Statistics
"	1
"TB Education and Training Network
"	1
"TBI
"	1
"TB in African-Americans
"	1
"TBRF
"	1
"TB Surveillance Reports
"	1
"TB Testing & Diagnosis
"	1
"Testicular Cancer
"	1
"Tetanus
"	1
"Tetanus
"	1
"Tetanus Disease
"	1
"Thalassemia
"	1
"Thoracic Aortic Aneurysm
"	1
"Throat, Sore
"	1
"Throat, Strep
"	1
"Thrombophilia
"	1
"Thrombosis
"	1
"Thrush
"	1
"Tick-borne Relapsing Fever
"	1
"Tickborne Diseases
"	1
"Ticks
"	1
"Anaplasmosis, Human
"	1
"Babesiosis
"	1
"Ehrlichiosis, Human
"	1
"Lyme Disease
"	1
"Powassan
"	1
"Relapsing Fever, Tick-borne
"	1
"Rocky Mountain Spotted Fever
"	1
"Southern Tick-Associated Rash Illness
"	1
